ZIP_CODE,pop_density_meters,population,population_error,land_area_sq_meter,land_area_error,ZCTA
01370,47.6025641025641,3713.0,298.0,78.0,42.0,01370
01373,55.92045454545455,4921.0,381.0,88.0,66.0,01373
01375,0.0,3658.0,14.0,0.0,14.0,01375
01376,25.486910994764397,4868.0,423.0,191.0,87.0,01376
01378,74.0,814.0,127.0,11.0,9.0,01378
01379,64.91666666666667,779.0,151.0,12.0,10.0,01379
01380,0.0,25.0,26.0,0.0,14.0,01380
01420,29.58877840909091,41661.0,119.0,1408.0,389.0,01420
01430,100.890625,6457.0,176.0,64.0,75.0,01430
01431,54.94827586206897,3187.0,23.0,58.0,29.0,01431
01432,35.92035398230089,8118.0,141.0,226.0,99.0,01432
01434,125.92857142857143,1763.0,287.0,14.0,18.0,01434
01436,41.50561797752809,3694.0,787.0,89.0,64.0,01436
01438,0.0,385.0,330.0,0.0,14.0,01438
01440,35.03465346534654,21231.0,126.0,606.0,187.0,01440
01450,104.78504672897196,11212.0,83.0,107.0,72.0,01450
01451,536.2,5362.0,249.0,10.0,19.0,01451
01452,482.0,4338.0,26.0,9.0,15.0,01452
01453,63.20754716981132,43550.0,113.0,689.0,246.0,01453
01460,61.11515151515152,10084.0,23.0,165.0,73.0,01460
01462,38.70065789473684,11765.0,53.0,304.0,155.0,01462
01463,466.68,11667.0,79.0,25.0,28.0,01463
01464,472.8,7092.0,20.0,15.0,23.0,01464
01468,52.064935064935064,4009.0,670.0,77.0,52.0,01468
01469,159.2888888888889,7168.0,412.0,45.0,29.0,01469
01473,44.193548387096776,8220.0,18.0,186.0,105.0,01473
01474,73.15384615384616,1902.0,412.0,26.0,19.0,01474
01475,48.476190476190474,10180.0,183.0,210.0,124.0,01475
01501,34.210204081632654,16763.0,102.0,490.0,118.0,01501
01503,106.48484848484848,3514.0,27.0,33.0,25.0,01503
01504,44.20673076923077,9195.0,29.0,208.0,100.0,01504
01505,55.17045454545455,4855.0,19.0,88.0,71.0,01505
