ZIP_CODE,Fatal (< 3 killed),Fatal (>= 3 killed),Injury (< 3 injured),Injury (>= 3 injured),Property Damage Only
11249,5,0,1421,367,5974
11251,0,0,284,130,1519
11252,7,0,523,323,2489
11354,32,2,2694,609,12094
11355,21,0,2576,565,10600
11356,5,0,579,149,4044
11357,8,0,1093,408,5106
11358,6,0,1100,291,5029
11359,1,0,125,66,657
11360,2,0,362,112,1748
11361,6,0,1004,264,6039
11362,4,1,883,378,5061
11363,0,0,284,81,1724
11364,20,1,1280,464,6481
11365,12,2,1094,343,5042
11366,3,0,516,168,2199
11367,14,0,1423,570,6500
11368,33,1,4016,1059,14228
11369,13,0,1331,445,5256
11370,8,0,1113,325,4456
11371,4,0,206,97,682
11372,20,0,2288,376,7566
11373,18,1,2489,457,10237
11374,11,0,1226,332,5505
11375,10,0,2033,615,8754
11377,21,0,3126,764,10421
11378,20,1,1834,562,8328
11379,13,0,1026,244,4059
11385,22,0,3324,778,13360
11411,9,1,1180,568,3757
11412,9,0,1573,673,5166
11413,12,3,2199,1034,8353
11414,9,0,1045,437,4119
11415,5,0,1106,434,5430
11416,5,0,853,304,3441
11417,9,1,1367,463,5254
11418,5,0,1165,321,5310
11419,19,0,1651,490,6419
11420,22,2,2463,1042,9298
11421,13,1,1207,422,4663
11422,14,1,2006,1006,7661
11423,7,2,1417,523,5171
11425,0,0,8,3,16
11426,5,0,862,313,3562
11427,7,0,959,327,3864
11428,5,0,638,186,2499
11429,10,0,1305,511,4442
11430,1,1,90,48,339
11432,13,1,2698,715,9585
11433,9,0,1755,559,5874
11434,34,2,3351,1467,14001
11435,17,0,2696,845,10206
11436,16,1,1339,632,5189
11439,0,0,2,1,17
11516,0,0,2,2,17
11580,0,0,8,1,27
11581,0,0,0,0,1
11582,0,0,0,1,0
11691,15,1,1472,418,6256
11692,2,0,372,130,1560
11693,7,0,397,129,1569
11694,4,0,391,97,1620
11695,0,0,1,1,7
11697,3,0,159,64,639
12235,1,0,314,149,1047
12692,0,0,10,3,18
